"","name","version","date","size"
"3","ggplot2","0.5.1",2007-06-10,1843.2
"4","ggplot2","0.5.2",2007-06-18,1843.2
"5","ggplot2","0.5.4",2007-07-08,1843.2
"6","ggplot2","0.5.5",2007-09-01,1843.2
"7","ggplot2","0.5.6",2007-10-20,1843.2
"8","ggplot2","0.5.7",2008-01-11,1843.2
"9","ggplot2","0.5",2007-06-01,7270.4
"10","ggplot2","0.6",2008-04-03,1945.6
"11","ggplot2","0.7",2008-10-05,1945.6
"12","ggplot2","0.8.1",2008-12-14,1945.6
"13","ggplot2","0.8.2",2009-02-25,2048
"14","ggplot2","0.8.3",2009-04-20,2048
"15","ggplot2","0.8.4",2009-12-09,2048
"16","ggplot2","0.8.5",2009-12-16,2048
"17","ggplot2","0.8.6",2010-02-18,2048
"18","ggplot2","0.8.7",2010-03-02,2048
"19","ggplot2","0.8.8",2010-07-05,2048
"20","ggplot2","0.8.9",2010-12-23,2048
"21","ggplot2","0.8",2008-11-21,1945.6
"22","ggplot2","0.9.0",2012-03-01,1638.4
"23","ggplot2","0.9.1",2012-05-08,9318.4
"24","ggplot2","0.9.2.1",2012-09-11,2252.8
"25","ggplot2","0.9.2",2012-09-04,2252.8
"26","ggplot2","0.9.3.1",2013-03-02,2252.8
"27","ggplot2","0.9.3",2012-12-05,2252.8
"28","ggplot2","1.0.0",2014-05-21,2252.8
"29","ggplot2","1.0.1",2015-03-17,2252.8
"30","ggplot2","2.0.0",2015-12-18,1536
"31","ggplot2","2.1.0",2016-03-01,1536
"32","ggplot2","2.2.0",2016-11-11,2150.4
